Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/e4/network_e4_without_symmetries.net
s141	: S(p1~P!1,p2~U,p3~P,p4~P!2).F(s!1).F(s!2)
s142	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~P!2).F(s!2)
s143	: S(p1~P,p2~U,p3~P!1,p4~P!2).F(s!1).F(s!2)
s144	: S(p1~P,p2~U,p3~P,p4~U)
s145	: S(p1~P!1,p2~U,p3~P,p4~U).F(s!1)
s146	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~U)
s147	: S(p1~P,p2~U,p3~P!1,p4~U).F(s!1)
s148	: S(p1~P!1,p2~U,p3~P!2,p4~U).F(s!1).F(s!2)
s149	: E(s!1).S(p1~P,p2~U!1,p3~P!2,p4~U).F(s!2)
s150	: E(s!1).S(p1~P,p2~U,p3~P!2,p4~U!1).F(s!2)
s151	: E(s!1).S(p1~P!2,p2~U,p3~P!3,p4~U!1).F(s!2).F(s!3)
s152	: E(s!1).S(p1~P,p2~U!1,p3~P!2,p4~U!3).F(s!2).E(s!3)
s153	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1)
s154	: S(p1~P,p2~U,p3~P!1,p4~P).F(s!1)
s155	: S(p1~P!1,p2~U,p3~P!2,p4~P).F(s!1).F(s!2)
s156	: E(s!1).S(p1~P,p2~U!1,p3~P!2,p4~P).F(s!2)
s157	: E(s!1).S(p1~P!2,p2~U!1,p3~P!3,p4~P).F(s!2).F(s!3)
s158	: S(p1~P,p2~P,p3~P!1,p4~P).F(s!1)
s159	: E(s!1).S(p1~P,p2~U!1,p3~P,p4~P)
s160	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~P)
s161	: E(s!1).S(p1~P,p2~U!1,p3~P!2,p4~P!3).F(s!2).F(s!3)
s162	: E(s!1).S(p1~P!2,p2~U!1,p3~P!3,p4~P!4).F(s!2).F(s!4).F(s!3)
s163	: S(p1~P,p2~P,p3~P!1,p4~P!2).F(s!1).F(s!2)
s164	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~P!2).F(s!2)
s165	: E(s!1).S(p1~P!2,p2~U!1,p3~U,p4~P!3).F(s!2).F(s!3)
s166	: E(s!1).S(p1~P,p2~U!2,p3~U!1,p4~P!3).F(s!3).E(s!2)
s167	: E(s!1).S(p1~P,p2~U!1,p3~U,p4~U)
s168	: E(s!1).S(p1~P!2,p2~U!1,p3~U,p4~U).F(s!2)
s169	: E(s!1).S(p1~P,p2~U!2,p3~U!1,p4~U).E(s!2)
s170	: E(s!1).S(p1~P,p2~U!2,p3~U,p4~U!1).E(s!2)
s171	: E(s!1).S(p1~P!2,p2~U!3,p3~U,p4~U!1).F(s!2).E(s!3)
s172	: E(s!1).S(p1~P,p2~P,p3~U,p4~U!1)
s173	: E(s!1).S(p1~P,p2~U!2,p3~U!1,p4~U!3).E(s!3).E(s!2)
s174	: E(s!1).S(p1~P!2,p2~U!3,p3~U!4,p4~U!1).F(s!2).E(s!4).E(s!3)
s175	: E(s!1).S(p1~P,p2~U!2,p3~P,p4~U!1).E(s!2)
s176	: E(s!1).S(p1~P,p2~U!2,p3~U!1,p4~P).E(s!2)
s177	: E(s!1).S(p1~P!2,p2~U!3,p3~U!1,p4~P).F(s!2).E(s!3)
s178	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~P)
s179	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~P)
s180	: E(s!1).S(p1~P!2,p2~P,p3~U!1,p4~P).F(s!2)
s181	: E(s!1).S(p1~P,p2~P,p3~U!1,p4~P!2).F(s!2)
s182	: E(s!1).S(p1~P!2,p2~P,p3~U!1,p4~P!3).F(s!2).F(s!3)
s183	: E(s!1).S(p1~P!2,p2~P!3,p3~U!1,p4~P!4).F(s!2).F(s!4).F(s!3)
s184	: S(p1~P!1,p2~P,p3~U,p4~P!2).F(s!1).F(s!2)
s185	: S(p1~P!1,p2~P,p3~P,p4~P!2).F(s!1).F(s!2)
s186	: E(s!1).S(p1~P!2,p2~P,p3~U!1,p4~U).F(s!2)
s187	: S(p1~P!1,p2~P,p3~U,p4~U).F(s!1)
s188	: S(p1~P!1,p2~P,p3~P,p4~U).F(s!1)
s189	: E(s!1).S(p1~P!2,p2~P,p3~U!3,p4~U!1).F(s!2).E(s!3)
s190	: E(s!1).S(p1~P!2,p2~P,p3~U,p4~U!1).F(s!2)
s191	: E(s!1).S(p1~P!2,p2~P,p3~P,p4~U!1).F(s!2)
s192	: E(s!1).S(p1~P!2,p2~P,p3~P!3,p4~U!1).F(s!2).F(s!3)
s193	: S(p1~P!1,p2~P,p3~P,p4~P).F(s!1)
s194	: S(p1~P!1,p2~P,p3~P!2,p4~P).F(s!2).F(s!1)
s195	: S(p1~P!1,p2~P!2,p3~P!3,p4~P).F(s!2).F(s!3).F(s!1)
s196	: S(p1~P!1,p2~P,p3~U,p4~P).F(s!1)
s197	: S(p1~P!1,p2~P,p3~P!2,p4~P!3).F(s!2).F(s!3).F(s!1)
