Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e9_with_fsym.net
s78	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U,p6~U!2,p7~U!1,p8~U!3,p9~U!4).E(s!4).E(s!3).E(s!2)
s79	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~U,p6~U!1,p7~U!3,p8~U!4,p9~U!5).F(s!2).E(s!5).E(s!4).E(s!3)
s80	: E(s!1).S(p1~P,p2~P,p3~P,p4~P,p5~U!1,p6~U!2,p7~U!3,p8~U!4,p9~U!5).E(s!5).E(s!4).E(s!3).E(s!2)
s81	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~U!1,p6~U!3,p7~U!4,p8~U!5,p9~U!6).F(s!2).E(s!6).E(s!5).E(s!4).E(s!3)
s82	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~U!1,p6~U!4,p7~U!5,p8~U!6,p9~U!7).F(s!3).E(s!7).F(s!2).E(s!6).E(s!5).E(s!4)
s83	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U!1,p6~U!2,p7~U!3,p8~U!4,p9~U!5).E(s!5).E(s!4).E(s!3).E(s!2)
s84	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U,p5~U!1,p6~U!3,p7~U!4,p8~U!5,p9~U!6).F(s!2).E(s!6).E(s!5).E(s!4).E(s!3)
s85	: E(s!1).S(p1~P,p2~P,p3~P,p4~U!1,p5~U!2,p6~U!3,p7~U!4,p8~U!5,p9~U!6).E(s!6).E(s!5).E(s!4).E(s!3).E(s!2)
s86	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U,p6~U!2,p7~U!1,p8~U!3,p9~U!4).E(s!4).E(s!3).E(s!2)
s87	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U,p5~U,p6~U!1,p7~U!3,p8~U!4,p9~U!5).F(s!2).E(s!5).E(s!4).E(s!3)
s88	: E(s!1).S(p1~P,p2~P,p3~P,p4~U,p5~U,p6~U,p7~U!1,p8~U!2,p9~U!3).E(s!3).E(s!2)
s89	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U,p5~U,p6~U,p7~U!1,p8~U!3,p9~U!4).F(s!2).E(s!4).E(s!3)
s90	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U,p6~U,p7~U!1,p8~U!4,p9~U!5).F(s!3).E(s!5).F(s!2).E(s!4)
s91	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U,p6~U,p7~U!1,p8~U!2,p9~U!3).E(s!3).E(s!2)
s92	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U,p5~U,p6~U,p7~U,p8~U!3,p9~U!1).F(s!2).E(s!3)
s93	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~U,p6~U,p7~U,p8~U!1,p9~U!3).F(s!2).E(s!3)
s94	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~U,p6~U,p7~U,p8~U!1,p9~U!4).F(s!3).E(s!4).F(s!2)
s95	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~U,p6~U,p7~U!1,p8~U!3,p9~U!4).F(s!2).E(s!4).E(s!3)
s96	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~U,p6~U,p7~U!1,p8~U!4,p9~U!5).F(s!3).E(s!5).F(s!2).E(s!4)
s97	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~U,p6~U,p7~U!1,p8~U!5,p9~U!6).F(s!4).E(s!6).F(s!3).F(s!2).E(s!5)
s98	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~U,p6~U!1,p7~U!4,p8~U!5,p9~U!6).F(s!3).E(s!6).F(s!2).E(s!5).E(s!4)
s99	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~U,p7~U,p8~U!1,p9~U!4).F(s!3).E(s!4).F(s!2)
s100	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~U,p7~U,p8~U!1,p9~U!5).F(s!4).E(s!5).F(s!3).F(s!2)
s101	: E(s!1).S(p1~P,p2~P,p3~P,p4~P!2,p5~P!3,p6~U,p7~U,p8~U,p9~U!1).F(s!2).F(s!3)
s102	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~P!4,p6~U,p7~U,p8~U,p9~U!1).F(s!4).F(s!3).F(s!2)
s103	: S(p1~P,p2~P,p3~P,p4~P!1,p5~P!2,p6~U,p7~U,p8~U,p9~U).F(s!1).F(s!2)
s104	: S(p1~P,p2~P,p3~P!1,p4~P!2,p5~P!3,p6~U,p7~U,p8~U,p9~U).F(s!3).F(s!2).F(s!1)
s105	: S(p1~P,p2~P!1,p3~P!2,p4~P!3,p5~P!4,p6~U,p7~U,p8~U,p9~U).F(s!4).F(s!3).F(s!2).F(s!1)
